name,official_website,address,star_rating,review_score,number_of_reviews,phone_number,latitude,longitude,detail_url
"Delfino Blu Hotel in Agios Stefanos Avliotes, Corfu",https://corfudelfinoblu.reserve-online.net/,"Corfu, Agios Stefanos Avliotes",4,5.0,1,00302118503006,39.75687374887841,19.644466638565063,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos-avliotes/delfino-blu/
"Oceanis Apartments in Barbati, Corfu",https://oceanisrooms.reserve-online.net/,"Corfu, Barbati",,5.0,15,00302118503006,39.72266511339484,19.881632924079895,https://www.greeka.com/ionian/corfu/hotels/location-barbati/oceanis/
"Fedra Mare Apartments in Agios Stefanos Avliotes, Corfu",https://fedramare.reserve-online.net/,"Corfu, Agios Stefanos Avliotes",,5.0,40,00302118503006,39.75358454392243,19.638726346254458,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos-avliotes/fedra-mare/
"Spiti Nikos Apartments in Danilia, Corfu",http://www.corfuspitinikos.com,"Corfu, Danilia",,5.0,1,00302118503006,39.638282,19.837331,https://www.greeka.com/ionian/corfu/hotels/location-danilia/spiti-nikos/
"Stevens on the Hill Apartments in Agios Gordios, Corfu",http://www.stevens.gr,"Corfu, Agios Gordios",,5.0,1,00302118503006,39.545129576886474,19.85351800918579,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/stevens-on-the-hill/
"Siora Vittoria Boutique Hotel in Town, Corfu",,"Corfu, Town",4,,,00302118503006,39.622526,19.921493,https://www.greeka.com/ionian/corfu/hotels/location-town/siora-vittoria/
"Kairaba Mythos Palace Hotel in Kouspades, Corfu",,"Corfu, Kouspades",,,,00302118503006,39.460710,19.966194,https://www.greeka.com/ionian/corfu/hotels/location-kouspades/kairaba/
"Porta Spilea Apartments in Town, Corfu",,"Corfu, Town",,,,00302118503006,39.625811,19.919514,https://www.greeka.com/ionian/corfu/hotels/location-town/porta-spilea/
"Dreams Resort & Spa Hotel in Gouvia, Corfu",,"Corfu, Gouvia",4,,,00302118503006,39.65078121740967,19.84296016395092,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/dreams/
"Grecotel Eva Palace Hotel in Kommeno, Corfu",,"Corfu, Kommeno",,,,00302118503006,39.667094996809794,19.856158643960953,https://www.greeka.com/ionian/corfu/hotels/location-kommeno/grecotel-eva-palace/
"Grecotel Daphnila Bay Hotel in Dassia, Corfu",,"Corfu, Dassia",4,,,00302118503006,39.666129,19.84919,https://www.greeka.com/ionian/corfu/hotels/location-dassia/grecotel-daphnila-bay/
"Grecotel Imperial Hotel in Kommeno, Corfu",,"Corfu, Kommeno",,,,00302118503006,39.666361104522814,19.860763996839523,https://www.greeka.com/ionian/corfu/hotels/location-kommeno/grecotel-imperial/
