name,latitude,longitude,address,star_rating,detail_url
"Palms & Spas Suites in Messonghi, Corfu",39.47127116108039,19.937642142176628,"Corfu, Messonghi",,https://www.greeka.com/ionian/corfu/hotels/location-messonghi/palms-and-spas/
"Sunshine Hotel in Nissaki, Corfu",39.72586270864284,19.904194995760918,"Corfu, Nissaki",4,https://www.greeka.com/ionian/corfu/hotels/location-nissaki/sunshine/
"Villa The Editor's Villas in Viros, Corfu",39.59336785444335,19.88954644650221,"Corfu, Viros",,https://www.greeka.com/ionian/corfu/hotels/location-viros/the-editors-villa/
"LOC Hospitality Suites in Town, Corfu",39.62421452495007,19.92103088647127,"Corfu, Town",,https://www.greeka.com/ionian/corfu/hotels/location-town/loc/
"Domes Miramare Hotel in Moraitika, Corfu",39.489513283514206,19.92741221538852,"Corfu, Moraitika",,https://www.greeka.com/ionian/corfu/hotels/location-moraitika/miramare-beach-and-spa/
"Mitsis Roda Beach Hotel in Roda, Corfu",39.795934,19.779752,"Corfu, Roda",4,https://www.greeka.com/ionian/corfu/hotels/location-roda/mitsis-roda-beach/
"Acharavi Beach Hotel in Acharavi, Corfu",39.79656,19.817596,"Corfu, Acharavi",4,https://www.greeka.com/ionian/corfu/hotels/location-acharavi/acharavi-beach/
"Aquamarine Apartments in Nissaki, Corfu",39.723998838083695,19.89110179245472,"Corfu, Nissaki",,https://www.greeka.com/ionian/corfu/hotels/location-nissaki/aquamarine/
"Aqualand Hotel in Agios Ioannis Afra, Corfu",39.617760955923266,19.83819756656885,"Corfu, Agios Ioannis Afra",4,https://www.greeka.com/ionian/corfu/hotels/location-agios-ioannis-afra/aqualand/
"Labranda Sandy Beach Hotel in Agios Georgios Argyradon, Corfu",39.43109926848816,19.940709248185158,"Corfu, Agios Georgios Argyradon",4,https://www.greeka.com/ionian/corfu/hotels/location-agios-georgios-argyradon/labranda-sandy-beach/
"Ariti Hotel in Town, Corfu",39.59331272052179,19.91820015013218,"Corfu, Town",4,https://www.greeka.com/ionian/corfu/hotels/location-town/ariti/
